county_name,state,county_code,deaths,population,crude_rate
Kootenai,ID,16055,694,170628,406.7
Latah,ID,16057,119,40830,291.5
Lemhi,ID,16059,43,8054,533.9
Lewis,ID,16061,25,3838,651.4
Lincoln,ID,16063,17,5358,Unreliable
Madison,ID,16065,76,40318,188.5
Minidoka,ID,16067,81,21216,381.8
Nez Perce,ID,16069,231,40755,566.8
Oneida,ID,16071,20,4520,442.5
Owyhee,ID,16073,50,12133,412.1
Payette,ID,16075,110,24771,444.1
Power,ID,16077,22,7643,287.8
Shoshone,ID,16079,76,12911,588.6
Teton,ID,16081,25,12501,200.0
Twin Falls,ID,16083,413,88411,467.1
Valley,ID,16085,41,11792,347.7
Washington,ID,16087,69,10360,666.0
Adams,IL,17001,359,64783,554.2
Alexander,IL,17003,42,5497,764.1
Bond,IL,17005,75,16262,461.2
Boone,IL,17007,220,52777,416.8
Brown,IL,17009,27,6546,412.5
Bureau,IL,17011,161,32303,498.4
Calhoun,IL,17013,38,4616,823.2
Carroll,IL,17015,120,14241,842.6
Cass,IL,17017,47,11925,394.1
Champaign,IL,17019,593,209192,283.5
Christian,IL,17021,209,32075,651.6
Clark,IL,17023,85,15268,556.7
Clay,IL,17025,70,13079,535.2
Clinton,IL,17027,149,37398,398.4
Coles,IL,17029,238,50383,472.4
Cook,IL,17031,18293,5108284,358.1
Crawford,IL,17033,109,18512,588.8
Cumberland,IL,17035,59,10649,554.0
DeKalb,IL,17037,324,104491,310.1
De Witt,IL,17039,74,15368,481.5
Douglas,IL,17041,106,19510,543.3
DuPage,IL,17043,2939,917481,320.3
Edgar,IL,17045,103,16858,611.0
Edwards,IL,17047,35,6356,550.7
Effingham,IL,17049,168,34065,493.2
Fayette,IL,17051,120,21264,564.3
Ford,IL,17053,85,12949,656.4
Franklin,IL,17055,252,38060,662.1
Fulton,IL,17057,208,33690,617.4
Gallatin,IL,17059,40,4793,834.6
Greene,IL,17061,84,12702,661.3
Grundy,IL,17063,221,50993,433.4
Hamilton,IL,17065,50,8084,618.5
Hancock,IL,17067,110,17422,631.4
Hardin,IL,17069,29,3808,761.6
Henderson,IL,17071,37,6535,566.2
Henry,IL,17073,215,48411,444.1
Iroquois,IL,17075,207,26711,775.0
Jackson,IL,17077,230,56675,405.8
Jasper,IL,17079,59,9465,623.3
Jefferson,IL,17081,190,37235,510.3
Jersey,IL,17083,114,21616,527.4
Jo Daviess,IL,17085,130,21239,612.1
Johnson,IL,17087,58,12358,469.3
Kane,IL,17089,1633,531010,307.5
Kankakee,IL,17091,499,108594,459.5
Kendall,IL,17093,308,130638,235.8
Knox,IL,17095,294,49053,599.4
Lake,IL,17097,2224,693593,320.6
LaSalle,IL,17099,550,107571,511.3
Lawrence,IL,17101,62,15467,400.9
Lee,IL,17103,164,33647,487.4
Livingston,IL,17105,214,35414,604.3
Logan,IL,17107,150,28383,528.5
McDonough,IL,17109,138,29295,471.1
McHenry,IL,17111,1047,305888,342.3
McLean,IL,17113,583,171256,340.4
Macon,IL,17115,606,103015,588.3
Macoupin,IL,17117,254,44567,569.9
Madison,IL,17119,1338,262635,509.5
Marion,IL,17121,231,37045,623.6
Marshall,IL,17123,79,11309,698.6
Mason,IL,17125,77,13173,584.5
Massac,IL,17127,94,13636,689.4
Menard,IL,17129,68,12068,563.5
Mercer,IL,17131,104,15225,683.1
Monroe,IL,17133,134,34739,385.7
Montgomery,IL,17135,155,28045,552.7
Morgan,IL,17137,196,33400,586.8
Moultrie,IL,17139,71,14347,494.9
Ogle,IL,17141,247,50306,491.0
Peoria,IL,17143,823,177652,463.3
Perry,IL,17145,110,20664,532.3
Piatt,IL,17147,70,16355,428.0
Pike,IL,17149,94,15239,616.8
Pope,IL,17151,20,4142,482.9
Pulaski,IL,17153,46,5201,884.4
Putnam,IL,17155,18,5716,Unreliable
Randolph,IL,17157,148,31351,472.1
Richland,IL,17159,103,15507,664.2
Rock Island,IL,17161,666,140907,472.7
St. Clair,IL,17163,1083,258046,419.7
Saline,IL,17165,141,23182,608.2
Sangamon,IL,17167,893,193882,460.6
Schuyler,IL,17169,42,6738,623.3
Scott,IL,17171,38,4950,767.7
Shelby,IL,17173,124,21299,582.2
Stark,IL,17175,21,5262,399.1
Stephenson,IL,17177,258,43831,588.6
Tazewell,IL,17179,690,130777,527.6
Union,IL,17181,97,16498,588.0
Vermilion,IL,17183,452,74855,603.8
Wabash,IL,17185,74,11190,661.3
Warren,IL,17187,88,16696,527.1
Washington,IL,17189,73,13764,530.4
Wayne,IL,17191,108,16031,673.7
White,IL,17193,97,13364,725.8
Whiteside,IL,17195,322,54656,589.1
Will,IL,17197,2287,688726,332.1
Williamson,IL,17199,353,66415,531.5
Winnebago,IL,17201,1418,281295,504.1
Woodford,IL,17203,152,38091,399.0
Adams,IN,18001,101,35839,281.8
Allen,IN,18003,1413,382187,369.7
Bartholomew,IN,18005,326,84447,386.0
Benton,IN,18007,45,8741,514.8
Blackford,IN,18009,69,11782,585.6
Boone,IN,18011,238,69347,343.2
Brown,IN,18013,60,15112,397.0
Carroll,IN,18015,88,20228,435.0
Cass,IN,18017,159,37388,425.3
Clark,IN,18019,583,119266,488.8
Clay,IN,18021,136,26246,518.2
Clinton,IN,18023,171,32206,531.0
Crawford,IN,18025,51,10629,479.8
Daviess,IN,18027,136,33505,405.9
Dearborn,IN,18029,224,49824,449.6
Decatur,IN,18031,127,26584,477.7
De Kalb,IN,18033,192,43670,439.7
Delaware,IN,18035,528,113454,465.4
Dubois,IN,18037,161,42542,378.4
Elkhart,IN,18039,764,206161,370.6
Fayette,IN,18041,166,22892,725.1
Floyd,IN,18043,356,78936,451.0
Fountain,IN,18045,111,16511,672.3
Franklin,IN,18047,84,22761,369.1
Fulton,IN,18049,97,20018,484.6
Gibson,IN,18051,136,33825,402.1
Grant,IN,18053,401,65225,614.8
Greene,IN,18055,164,32203,509.3
Hamilton,IN,18057,902,344238,262.0
Hancock,IN,18059,340,79553,427.4
Harrison,IN,18061,189,40682,464.6
Hendricks,IN,18063,504,173251,290.9
Henry,IN,18065,255,48033,530.9
Howard,IN,18067,424,82732,512.5
Huntington,IN,18069,180,36395,494.6
Jackson,IN,18071,204,44222,461.3
Jasper,IN,18073,173,33440,517.3
Jay,IN,18075,95,20416,465.3
Jefferson,IN,18077,185,32110,576.1
Jennings,IN,18079,147,27515,534.3
Johnson,IN,18081,634,160607,394.8
Knox,IN,18083,196,36522,536.7
Kosciusko,IN,18085,324,78988,410.2
Lagrange,IN,18087,106,40119,264.2
Lake,IN,18089,2228,487536,457.0
La Porte,IN,18091,525,109663,478.7
Lawrence,IN,18093,247,45496,542.9
Madison,IN,18095,659,129681,508.2
Marion,IN,18097,3417,966183,353.7
Marshall,IN,18099,199,46108,431.6
Martin,IN,18101,47,10079,466.3
Miami,IN,18103,160,35328,452.9
Monroe,IN,18105,391,148219,263.8
Montgomery,IN,18107,198,38365,516.1
Morgan,IN,18109,334,70707,472.4
Newton,IN,18111,73,13907,524.9
Noble,IN,18113,191,47832,399.3
Ohio,IN,18115,35,5892,594.0
Orange,IN,18117,99,19651,503.8
Owen,IN,18119,102,20833,489.6
Parke,IN,18121,75,16871,444.5
Perry,IN,18123,65,19154,339.4
Pike,IN,18125,60,12378,484.7
Porter,IN,18127,677,170980,396.0
Posey,IN,18129,105,25275,415.4
Pulaski,IN,18131,79,12388,637.7
Putnam,IN,18133,184,37469,491.1
Randolph,IN,18135,133,24191,549.8
Ripley,IN,18137,142,28448,499.2
Rush,IN,18139,96,16649,576.6
St. Joseph,IN,18141,1063,271484,391.6
Scott,IN,18143,154,23788,647.4
Shelby,IN,18145,203,44871,452.4
Spencer,IN,18147,69,20225,341.2
Starke,IN,18149,119,23049,516.3
Steuben,IN,18151,159,34831,456.5
Sullivan,IN,18153,78,20578,379.0
Switzerland,IN,18155,53,10724,494.2
Tippecanoe,IN,18157,481,196115,245.3
Tipton,IN,18159,81,15227,531.9
Union,IN,18161,21,7119,295.0
Vanderburgh,IN,18163,807,182447,442.3
Vermillion,IN,18165,74,15329,482.7
Vigo,IN,18167,499,106608,468.1
Wabash,IN,18169,197,30784,639.9
Warren,IN,18171,39,8194,476.0
Warrick,IN,18173,251,63269,396.7
Washington,IN,18175,160,28213,567.1
