county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Dixie County,FL,12029,103,17057,603.9,2022,NA
Duval County,FL,12031,3837,966728,396.9,2022,NA
Escambia County,FL,12033,1628,322364,505.0,2022,NA
Flagler County,FL,12035,697,118451,588.4,2022,NA
Franklin County,FL,12037,72,12201,590.1,2022,NA
Gadsden County,FL,12039,226,45277,499.1,2022,NA
Gilchrist County,FL,12041,97,18885,513.6,2022,NA
Glades County,FL,12043,59,14198,415.6,2022,NA
Gulf County,FL,12045,100,13534,738.9,2022,NA
Hamilton County,FL,12047,77,14521,530.3,2022,NA
Hardee County,FL,12049,122,26822,454.9,2022,NA
Hendry County,FL,12051,148,42813,345.7,2022,NA
Hernando County,FL,12053,1333,198792,670.6,2022,NA
Highlands County,FL,12055,761,106639,713.6,2022,NA
Hillsborough County,FL,12057,5061,1497957,337.9,2022,NA
Holmes County,FL,12059,128,19594,653.3,2022,NA
Indian River County,FL,12061,1028,162518,632.5,2022,NA
Jackson County,FL,12063,280,46085,607.6,2022,NA
Jefferson County,FL,12065,85,14543,584.5,2022,NA
Lafayette County,FL,12067,47,8482,554.1,2022,NA
Lake County,FL,12069,2081,375492,554.2,2022,NA
Lee County,FL,12071,3569,790767,451.3,2022,NA
Leon County,FL,12073,939,295460,317.8,2022,NA
Levy County,FL,12075,240,42214,568.5,2022,NA
Liberty County,FL,12077,27,8364,322.8,2022,NA
Madison County,FL,12079,118,18707,630.8,2022,NA
Manatee County,FL,12081,1901,411219,462.3,2022,NA
Marion County,FL,12083,2494,373513,667.7,2022,NA
Martin County,FL,12085,875,162088,539.8,2022,NA
Miami-Dade County,FL,12086,9100,2707303,336.1,2022,NA
Monroe County,FL,12087,313,73900,423.5,2022,NA
Nassau County,FL,12089,425,91113,466.5,2022,NA
Okaloosa County,FL,12091,900,212820,422.9,2022,NA
Okeechobee County,FL,12093,218,42297,515.4,2022,NA
Orange County,FL,12095,3974,1404396,283.0,2022,NA
Osceola County,FL,12097,1276,385315,331.2,2022,NA
Palm Beach County,FL,12099,6408,1507600,425.0,2022,NA
Pasco County,FL,12101,2965,570412,519.8,2022,NA
Pinellas County,FL,12103,5201,976802,532.5,2022,NA
Polk County,FL,12105,3381,744552,454.1,2022,NA
Putnam County,FL,12107,477,74815,637.6,2022,NA
St. Johns County,FL,12109,978,278715,350.9,2022,NA
St. Lucie County,FL,12111,1617,337186,479.6,2022,NA
Santa Rosa County,FL,12113,807,189139,426.7,2022,NA
Sarasota County,FL,12115,2562,443465,577.7,2022,NA
Seminole County,FL,12117,1573,474171,331.7,2022,NA
Sumter County,FL,12119,1033,139018,743.1,2022,NA
Suwannee County,FL,12121,269,44851,599.8,2022,NA
Taylor County,FL,12123,138,21600,638.9,2022,NA
Union County,FL,12125,95,15182,625.7,2022,NA
Volusia County,FL,12127,3230,561497,575.2,2022,NA
Wakulla County,FL,12129,154,34319,448.7,2022,NA
Walton County,FL,12131,352,76648,459.2,2022,NA
Washington County,FL,12133,141,25932,543.7,2022,NA
